ranking,id_articulo,distancia_promedio,conexiones_directas,titulo
1,1543,1.0709,2,EME: An emergent model of emotions
2,1667,1.0709,2,Towards an emergent model of emotions
3,1498,1.0961,2,Collaborative teaching of globally distributed software deve
4,1878,1.0961,2,3rd International workshop on collaborative teaching of glob
5,240,1.1118,19,Computational Astronomy: Five Centuries of Finding True Syzy
6,469,1.1149,2,Genetic algorithm-aided design of predictive filters for ele
7,600,1.1149,2,Genetic algorithm-assisted design of adaptive predictive fil
8,697,1.1921,2,Improving Program Guides for Reducing TV Stream Structuring 
9,739,1.1921,2,Television Stream Structuring with Program Guides
10,2929,1.1944,8,Decoding options and accuracy of translation of developmenta
