componente_id,num_articulos,nodos,tipo
1,1415,"['100', '1016', '1024', '1032', '1034', '1038', '1040', '1042', '107', '1072']",Principal
2,143,"['1046', '105', '1096', '1194', '1245', '1382', '1504', '1511', '1518', '1550']",Principal
3,87,"['1036', '1039', '1048', '1062', '1090', '1257', '1292', '1295', '148', '1629']",Principal
4,57,"['1109', '1205', '1536', '1721', '1746', '1851', '1883', '1916', '2488', '2823']",Principal
5,51,"['1135', '1261', '1298', '166', '1715', '1748', '1925', '2114', '2278', '2331']",Principal
6,46,"['2156', '3385', '3518', '3585', '3621', '3650', '3671', '3838', '3901', '4002']",Principal
7,46,"['1030', '1086', '110', '1164', '1379', '1704', '1705', '1800', '1914', '2004']",Principal
8,44,"['1037', '1160', '1408', '1437', '1745', '1865', '192', '2390', '298', '3277']",Principal
9,41,"['103', '1182', '1329', '1390', '1532', '1739', '1740', '1918', '1958', '2089']",Principal
10,41,"['1791', '2686', '3078', '3232', '3392', '3468', '3578', '3692', '3757', '3778']",Principal
