id_origen,id_destino,titulo_origen,titulo_destino,distancia_minima,num_saltos,ruta_completa
7895,3748,Systematic Review on Humanizing Machine Intelligen,Computational fluid dynamics investigations of the,32.9332,23,7895 → 7827 → 8383 → 3245 → 393 → 2687 → 741 → 27 → 392 → 3552 → 8406 → 1208 → 221 → 2424 → 3500 → 2358 → 7537 → 5031 → 2222 → 4654 → 7937 → 8068 → 373 → 3748
3157,6217,Use-inspired basic research in medical image perce,Teaching Machine Learning in K–12 Classroom: Pedag,34.5193,23,3157 → 4832 → 2437 → 369 → 1208 → 8406 → 3552 → 392 → 27 → 741 → 2687 → 393 → 5819 → 7827 → 4958 → 7895 → 4603 → 4244 → 2988 → 6049 → 5725 → 5254 → 4997 → 6217
8552,6861,Global Landmark Classification Using Enhanced ResN,Path classification by stochastic linear recurrent,8.8568,6,8552 → 5596 → 1640 → 7079 → 5826 → 9312 → 6861
6963,9425,Series admittance–impedance controller for more ro,Exploring Primary School Students’ Computational T,62.2114,41,6963 → 7388 → 192 → 1037 → 2618 → 806 → 655 → 236 → 1097 → 2078 → 2687 → 393 → 3245 → 6929 → 5219 → 4921 → 1953 → 3298 → 6595 → 3083 → 7020 → 3423 → 2463 → 4414 → 4268 → 5775 → 6991 → 1284 → 6463 → 9357 → 7235 → 8911 → 4844 → 1343 → 1861 → 6435 → 6308 → 6092 → 9609 → 5913 → 3238 → 9425
3738,5731,Computational Thinking Equity in Elementary Classr,Comparative analysis of box-covering algorithms fo,37.8475,25,3738 → 8795 → 8624 → 7724 → 9166 → 5905 → 3255 → 3130 → 1861 → 1343 → 4844 → 9015 → 6353 → 5685 → 4351 → 6140 → 9525 → 2531 → 4639 → 7950 → 5603 → 3103 → 5009 → 524 → 9190 → 5731
1567,2242,Improving the design of a pickup head for particle,Computational fluid dynamics modeling of combustio,3.6594,3,1567 → 275 → 285 → 2242
9651,2296,Privacy and Security in Distributed Data Markets,GasCL: A vertex-centric graph model for GPUs,36.4011,24,9651 → 5496 → 3423 → 2463 → 4414 → 4268 → 5775 → 6991 → 1284 → 6463 → 9357 → 7235 → 8911 → 9015 → 6353 → 7702 → 5861 → 8552 → 5596 → 4683 → 3493 → 1944 → 7964 → 3366 → 2296
527,1732,Increasing the probability of success in the first,Code Working,58.7285,39,527 → 2394 → 2849 → 6577 → 6086 → 5418 → 7724 → 9166 → 5905 → 3255 → 3130 → 1861 → 1343 → 4844 → 9015 → 6353 → 7702 → 5861 → 8552 → 5596 → 1640 → 7079 → 7708 → 5800 → 8383 → 3245 → 393 → 2687 → 2078 → 1097 → 236 → 655 → 806 → 8693 → 2220 → 661 → 3625 → 8063 → 7805 → 1732
3929,7177,Methodological Cyborg as Black Feminist Technology,A review on slow earthquakes in the Japan Trench,44.896,30,3929 → 7512 → 1284 → 6463 → 9357 → 7235 → 8911 → 9015 → 6353 → 7702 → 5861 → 8552 → 5596 → 1640 → 7079 → 7708 → 5800 → 8383 → 3245 → 393 → 2687 → 2078 → 1097 → 236 → 655 → 806 → 8693 → 2220 → 661 → 3625 → 7177
1326,2036,"Integrating Mathematical Thinking, Abstract Thinki",Improving learning of computational thinking using,3.0959,2,1326 → 3130 → 2036
